Entity,Code,Year,"5.6.2 - Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education (%) - SH_LGR_ACSRHE"
Afghanistan,AFG,2019,56
Africa (UN),,2022,70
Angola,AGO,2022,62
Argentina,ARG,2022,92
Armenia,ARM,2019,87
Asia (UN),,2022,74
Bahrain,BHR,2022,73
Barbados,BRB,2019,44
Belarus,BLR,2022,83
Belize,BLZ,2019,43
Benin,BEN,2019,91
Bhutan,BTN,2022,83
Bolivia,BOL,2022,94
Bosnia and Herzegovina,BIH,2022,70
Botswana,BWA,2022,64
Brunei,BRN,2022,41
Bulgaria,BGR,2022,62
Burkina Faso,BFA,2022,81
Burundi,BDI,2019,65
Cambodia,KHM,2019,98
Cape Verde,CPV,2022,84
Central African Republic,CAF,2019,77
Central and Southern Asia (UN),,2022,75
Chad,TCD,2022,59
Colombia,COL,2022,96
Congo,COG,2019,55
Costa Rica,CRI,2022,84
Cote d'Ivoire,CIV,2019,64
Croatia,HRV,2022,98
Cyprus,CYP,2022,72
Czechia,CZE,2022,79
Denmark,DNK,2022,87
Eastern and South-Eastern Asia (UN),,2022,76
Ecuador,ECU,2022,92
El Salvador,SLV,2022,92
Estonia,EST,2022,98
Eswatini,SWZ,2022,98
Ethiopia,ETH,2022,73
Europe (UN),,2022,87
Europe and Northern America (UN),,2022,87
Finland,FIN,2022,98
Gabon,GAB,2019,58
Georgia,GEO,2022,94
Germany,DEU,2022,87
Ghana,GHA,2022,66
Greece,GRC,2022,72
Guinea,GIN,2022,79
Guinea-Bissau,GNB,2022,80
Guyana,GUY,2022,87
Haiti,HTI,2022,65
Honduras,HND,2022,80
Hungary,HUN,2022,93
India,IND,2022,74
Indonesia,IDN,2022,77
Iran,IRN,2022,63
Iraq,IRQ,2022,59
Jamaica,JAM,2022,76
Japan,JPN,2022,85
Jordan,JOR,2022,56
Kazakhstan,KAZ,2022,65
Kenya,KEN,2022,48
Kyrgyzstan,KGZ,2019,73
Laos,LAO,2019,96
Latin America and the Caribbean (UN),,2022,75
Latvia,LVA,2019,70
Least Developed Countries (LDCs),,2022,71
Lithuania,LTU,2022,87
Malawi,MWI,2022,79
Malaysia,MYS,2019,83
Maldives,MDV,2022,93
Mauritania,MRT,2019,65
Mauritius,MUS,2022,75
Mexico,MEX,2022,86
Montenegro,MNE,2019,52
Myanmar,MMR,2022,91
Namibia,NAM,2022,88
Nepal,NPL,2019,48
Netherlands,NLD,2022,100
New Zealand,NZL,2019,95
Nicaragua,NIC,2022,75
North Korea,PRK,2019,83
Northern Africa (UN),,2022,57
Norway,NOR,2022,100
Oman,OMN,2022,70
Pakistan,PAK,2019,69
Palestine,PSE,2022,68
Panama,PAN,2022,72
Paraguay,PRY,2022,76
Peru,PER,2022,85
Philippines,PHL,2022,80
Poland,POL,2022,89
Portugal,PRT,2022,95
Qatar,QAT,2022,71
Romania,ROU,2022,98
Russia,RUS,2022,70
Rwanda,RWA,2022,82
Saint Lucia,LCA,2022,33
Saint Vincent and the Grenadines,VCT,2019,81
Samoa,WSM,2022,22
Sao Tome and Principe,STP,2022,46
Senegal,SEN,2022,75
Serbia,SRB,2022,99
Sierra Leone,SLE,2019,65
Singapore,SGP,2022,46
Slovakia,SVK,2022,86
Small Island Developing States (SIDS),,2022,60
South Africa,ZAF,2019,95
South Sudan,SSD,2019,16
Sri Lanka,LKA,2022,86
Sub-Saharan Africa (UN),,2022,71
Sudan,SDN,2019,57
Sweden,SWE,2019,100
Switzerland,CHE,2019,94
Syria,SYR,2019,81
Trinidad and Tobago,TTO,2022,27
Turkey,TUR,2022,78
Turkmenistan,TKM,2022,94
Ukraine,UKR,2022,95
United Kingdom,GBR,2022,96
Uruguay,URY,2022,97
Uzbekistan,UZB,2022,92
Vietnam,VNM,2019,54
World,OWID_WRL,2022,76
Yemen,YEM,2019,65
Zambia,ZMB,2019,91
Zimbabwe,ZWE,2022,73